rank;score;tier;type;target;channel;angle;status;checked_on
1;92;A;media;Le Journal du Yoga;https://www.lejournalduyoga.com/contact/;Contribution pratique sur pierres et meditation;SENT_VERIFIED_2026-09-08;2026-09-08
2;90;A;media;Esprit Yoga;https://www.esprityoga.fr/contact/;Sujet editorial bijoux en pierres et pratique quotidienne;SENT_VERIFIED_2026-09-08;2026-09-08
3;88;A;media;MeditationFrance;https://www.meditationfrance.com/contact.htm;Guide pratique pierres et rituel de meditation;SENT_VERIFIED_2026-09-08;2026-09-08
4;86;A;media;FemininBio;https://www.femininbio.com/divers/mentions-legales;Selection responsable et guide debutant sans promesse medicale;BOUNCED_550_RETRY_READY;2026-09-08
5;85;A;local;Metz Magazine;https://metz.fr/mag/;Portrait commerce messin et expertise numerique;SENT_VERIFIED_2026-09-08;2026-09-08
6;84;A;local;Blog MOSL;https://www.blog.mosl.fr/contact/;Portrait local bijoux pierres et atelier de Metz;SENT_VERIFIED_2026-09-08;2026-09-08
7;83;A;local;Fais Moi Fondre Concept Store;https://faismoifondrebyc.com/index.php/le-concept-store/;Revendeur reserve aux createurs artisanaux France;NOT_A_FIT_NO_OUTREACH;2026-09-08
8;82;A;local;La Bande a Elyna;https://www.hello-metz.com/la-bande-a-elyna-metz;Concept store reserve aux createurs;NOT_A_FIT_NO_OUTREACH;2026-09-08
9;81;A;podcast;Un temps pour soi - Yoga avec Valentine;https://podcasts.apple.com/fr/podcast/un-temps-pour-soi-m%C3%A9diter-avec-valentine/id1481724067;Pierre comme support symbolique de meditation;SENT_VERIFIED_2026-09-08;2026-09-08
10;80;A;podcast;Les Entretiens de NeverMind;https://podcasts.apple.com/fr/podcast/les-entretiens-de-nevermind-m%C3%A9ditation-non-dualit%C3%A9/id1680207804;Discussion critique entre symbolique et croyance;READY_CONFIRMATION_REQUIRED;2026-09-08
11;79;B;media;Radio Medecine Douce;https://radiomedecinedouce.com/contact/;Chronique sur le choix et entretien des pierres;QUALIFIED;2026-09-08
12;78;B;podcast;Metamorphose;https://www.metamorphosepodcast.com/contact/;Entretien avec Karine sur objets symboliques et bien-etre;SENT_VERIFIED_2026-09-08;2026-09-08
13;77;B;media;Corps Accord;https://ecole-corps-accord.fr/contact/;Contribution pratiques corporelles douces et objets rituels;QUALIFIED;2026-09-08
14;76;B;media;L Instant Present;https://www.instant-present.fr/contact/;Article pratique ancrage et presence sans discours medical;QUALIFIED;2026-09-08
15;75;B;media;Sense of Wellness;https://www.senseofwellness-mag.com/demande-de-contact-redac/;Innovation retail bien-etre et experience conseil;QUALIFIED;2026-09-08
16;74;B;media;Sante Magazine;https://www.santemagazine.fr/nous-ecrire-201354;Angle factuel sur croyances usages et precautions;QUALIFIED;2026-09-08
17;73;B;media;So Busy Girls;https://sobusygirls.fr/contact;Selection shopping pierres et bijoux;PAID_TERMS_TO_REVIEW;2026-09-08
18;72;B;media;Saisons Femme;https://saisonsfemme.fr/publicite-et-partenariats/;Article expert ou citation de marque;PAID_TERMS_TO_REVIEW;2026-09-08
19;71;B;media;Femme Magazine;https://www.femmemagazine.fr/publicite-partenariats.html;Selection bijoux symboliques et cadeaux;QUALIFIED;2026-09-08
20;70;B;wedding;Un Beau Jour;https://www.unbeaujour.fr/contact/;Bijoux en pierres pour mariage et cadeaux invites;FORM_BLOCKED_2026-09-07;2026-09-08
21;70;B;wedding;La Mariee aux Pieds Nus;https://www.lamarieeauxpiedsnus.com/contact/;Bijoux mariage en pierres naturelles;DO_NOT_CONTACT_REPLY_2026-09-07;2026-09-08
