"shopify_product_id","title","stone_name","stone_handle","review_decision","priority","failed_checks","precise_reason","proposed_stone_description","proposed_taxonomy_correction"
"10694373769563","Accessoire minéral grenouille en quartz rose - 50 mm","Quartz rose","quartz-rose","A_CORRIGER","P1","source vérifiée;apparence réelle;absence d'invention","Le texte dit lui-même que la teinte, la transparence et les détails réels restent à confirmer. La phrase finale générique ne transforme pas cette absence de preuve en description fiable.","","Masquer temporairement l'onglet La pierre ou vider stone_description jusqu'au contrôle de l'exemplaire physique. Ne pas inventer de teinte, d'inclusions ou de transparence."
"10694252396891","Bracelet baroque en citrine chauffée - 16 à 18 cm","Citrine chauffée","citrine","A_CORRIGER","P2","information utile;français naturel","La phrase La mention chauffée est indiquée dans son nom commente le catalogue et n'apporte aucune information sur la pierre.","La citrine chauffée de ce bracelet présente des éclats polis, transparents à légèrement nuageux, dans des tons jaune clair à miel. Leur forme, leur transparence et la répartition des nuances varient naturellement d'un éclat à l'autre. En lithothérapie, la citrine chauffée est associée à l'énergie et à la confiance.",""
"10693894406491","Bracelet en obsidienne noire 10 mm - 16 à 18 cm","Obsidienne noire","obsidienne-noire","A_CORRIGER","P2","séparation pierre-produit","La deuxième phrase décrit le rang de perles et l'absence de métal, informations explicitement réservées à la description produit ou aux spécifications.","L'obsidienne noire se distingue par son noir profond et son éclat vitreux. Le poli fait varier l'intensité des reflets d'une perle à l'autre, sans modifier la couleur sombre dominante. En lithothérapie, l'obsidienne noire est associée à la protection et à l'ancrage.",""
"10685905011035","Bracelet Unys argenté en onyx et œil de taureau","Onyx","onyx","A_CORRIGER","P2","spécificité;français naturel;composition","La formulation palette noir mat, rouge brun chatoyant est artificielle et ne dit pas quelle apparence appartient à l'onyx ou à l'œil de taureau.","L'onyx présente un noir profond, mat à légèrement brillant selon le poli, tandis que l'œil de taureau montre des tons rouge brun traversés de bandes chatoyantes. La largeur et l'intensité de ces bandes varient naturellement d'une perle à l'autre. En lithothérapie, l'onyx est associé à la protection et à l'ancrage.",""
"10685831545179","Bracelet baroque en fluorine multicolore - 16 à 18 cm","Fluorine multicolore","fluorine","A_CORRIGER","P2","français naturel;apparence spécifique","La palette vert pâle, violet et translucide mélange des couleurs et un degré de transparence dans une construction maladroite.","La fluorine multicolore de ce bracelet mêle des zones vert pâle et violettes, parfois presque transparentes. Les contours des éclats, la répartition des couleurs et le degré de transparence varient naturellement d'un fragment à l'autre. En lithothérapie, la fluorine multicolore est associée à l'intuition et à la clarté.",""
"10685841965403","Bracelet baroque en hématite - 16 à 18 cm","Hématite","hematite","A_CORRIGER","P2","français naturel;apparence spécifique","Palette gris acier très brillant n'est pas une formulation naturelle et la phrase de variation reste générique.","L'hématite se reconnaît à son gris acier et à ses reflets métalliques très brillants. Sur les éclats baroques, la forme, la surface et l'intensité du brillant varient naturellement d'un fragment à l'autre. En lithothérapie, l'hématite est associée à l'ancrage et à la stabilité.",""
"10685857726811","Bracelet en amazonite des États-Unis - Perles de 6 mm","Amazonite","amazonite","A_CORRIGER","P2","français naturel;apparence spécifique","La pierre présente une palette bleu turquoise à vert d'eau est une construction de gabarit peu naturelle et peu précise sur les variations visibles.","L'amazonite de ce bracelet présente des nuances allant du bleu turquoise au vert d'eau. Le poli des perles met en évidence des zones plus claires, des veines et des différences de couleur naturelles d'un élément à l'autre. En lithothérapie, l'amazonite est associée à la confiance et à l'apaisement.",""
"10685873619291","Collier en howlite blanche 8 mm - 45 cm","Howlite blanche","howlite","A_CORRIGER","P2","français naturel;apparence spécifique","Palette blanc mat veiné de gris est grammaticalement maladroit alors que le veinage de la howlite permet une description directe.","La howlite blanche se reconnaît à sa base mate ou satinée parcourue de veines grises irrégulières. Leur densité, leur trajet et le contraste avec le blanc varient naturellement d'une perle à l'autre. En lithothérapie, la howlite blanche est associée au calme et au sommeil.",""
"10685881123163","Boucles d'oreilles puces en améthyste - 8 mm","Améthyste","amethyste","A_CORRIGER","P2","français naturel;apparence spécifique","Palette violet translucide est une formulation artificielle et la description ne caractérise pas clairement les nuances de l'améthyste.","L'améthyste de ces boucles présente un violet translucide, plus ou moins soutenu selon la pierre. Le poli laisse apparaître des voiles, des inclusions et de légères différences de transparence d'une perle à l'autre. En lithothérapie, l'améthyste est associée à l'intuition et au calme.",""
"10685889380699","Boucles d'oreilles puces en cornaline - 10 mm","Cornaline","cornaline","A_CORRIGER","P2","français naturel;apparence spécifique","Palette orange rouge translucide juxtapose des adjectifs sans relation claire et sonne comme un gabarit automatique.","La cornaline de ces boucles varie de l'orange au rouge, avec des zones parfois plus claires ou translucides. Le poli fait ressortir les nuances et les inclusions naturelles propres à chaque perle. En lithothérapie, la cornaline est associée à l'énergie et à la créativité.",""
